NA_ANIMAL,NA_ID,Loc,Sohlenbrei,NAT1,REST1,STAU1,Breaks_Dis
Dan,11624,0,5,0,1,0,109.5735
Dan,11624,0,5,0,1,0,138.9124
Dan,11624,0,5,0,1,0,156.7677
Dan,11624,0,5,0,1,0,208.2738
Dan,11624,0,5,0,1,0,30.3576
Dan,11624,0,5,0,1,0,472.6722
Dan,11624,0,5,0,1,0,5.832
Dan,11624,0,5,0,1,0,61.8505
Dan,11624,0,5,0,1,0,833.3415
Dan,12131,0,7,0,1,0,162.9201
Dan,12131,0,7,0,1,0,192.3644
Dan,12131,0,7,0,1,0,2.5465
Dan,12131,0,15,0,0,1,337.8624
Dan,12131,0,15,0,0,1,359.1462
Dan,12131,0,7,0,1,0,36.0775
Dan,12131,0,3,0,1,0,762.8317
Dan,12131,0,4,0,1,0,874.9898
Dan,12131,0,15,0,0,1,934.1697
Dan,12132,0,3,0,1,0,1040.6874
Dan,12132,0,7,0,1,0,11.2783
Dan,12132,0,5,0,1,0,133.69
Dan,12132,0,5,0,1,0,199.1555
Dan,12132,0,5,0,1,0,310.3786
Dan,12132,0,5,0,1,0,401.3211
Dan,12132,0,4,0,1,0,566.4218
Dan,12132,0,7,0,1,0,661.2773
Dan,12132,0,7,0,1,0,96.4442
Dan,12139,0,0,0,1,0,102.8229
Dan,12139,0,0,0,1,0,138.9715
Dan,12139,0,6,0,1,0,165.0184
Dan,12139,0,8,0,1,0,294.6545
Dan,12139,0,0,0,1,0,294.7876
Dan,12139,0,8,0,0,1,397.6632
Dan,12139,0,0,0,1,0,465.2944
Dan,12139,0,6,0,1,0,5.6693
Dan,12139,0,0,0,1,0,92.7179
Alena,130160,0,7,1,0,0,164.063
Alena,130160,0,6,1,0,0,2.765
Alena,130160,0,7,1,0,0,254.3285
Alena,130160,0,7,1,0,0,384.5196
Alena,130160,0,7,1,0,0,395.1199
Alena,130160,0,7,1,0,0,499.1616
Alena,130160,0,7,0,0,1,73.9969
Alena,130160,0,6,1,0,0,81.4536
Alena,130160,0,7,1,0,0,898.848
Alena,130161,0,7,1,0,0,190.349
Alena,130161,0,7,1,0,0,259.6976
Alena,130161,0,7,1,0,0,30.9376
Alena,130161,0,7,1,0,0,32.7292
Alena,130161,0,6,1,0,0,321.908
Alena,130161,0,7,1,0,0,57.4161
Alena,130161,0,6,1,0,0,592.9196
Alena,130161,0,6,1,0,0,612.6425
Alena,130161,0,7,1,0,0,9.812
Alena,130162,0,7,1,0,0,154.7155
Alena,130162,0,6,1,0,0,157.265
Alena,130162,0,7,1,0,0,170.9348
Alena,130162,0,6,1,0,0,199.8843
Alena,130162,0,7,1,0,0,218.6602
Alena,130162,0,6,1,0,0,258.0726
Alena,130162,0,6,1,0,0,29.8312
Alena,130162,0,6,1,0,0,385.4917
Alena,130162,0,8,1,0,0,501.683
Alena,130163,0,7,1,0,0,194.111
Alena,130163,0,7,1,0,0,214.0681
Alena,130163,0,7,1,0,0,271.1493
Alena,130163,0,7,1,0,0,346.922
Alena,130163,0,7,1,0,0,369.4204
Alena,130163,0,7,1,0,0,510.5517
Alena,130163,0,6,1,0,0,59.3598
Alena,130163,0,6,1,0,0,68.0392
Alena,130163,0,7,1,0,0,709.0711
Alena,130164,0,4,1,0,0,1024.3898
Alena,130164,0,6,1,0,0,159.8622
Alena,130164,0,7,1,0,0,183.5992
Alena,130164,0,6,1,0,0,386.8755
Alena,130164,0,6,1,0,0,572.338
Alena,130164,0,3,1,0,0,745.8203
Alena,130164,0,8,1,0,0,83.8702
Alena,130164,0,6,1,0,0,874.4697
Alena,130164,0,4,1,0,0,945.5156
Alena,130165,0,6,1,0,0,106.0726
Alena,130165,0,6,1,0,0,117.9245
Alena,130165,0,6,1,0,0,195.5043
Alena,130165,0,6,1,0,0,196.61
Alena,130165,0,6,1,0,0,250.3215
Alena,130165,0,6,1,0,0,261.5791
Alena,130165,0,6,1,0,0,43.5267
Alena,130165,0,3,1,0,0,566.4218
Alena,130165,0,6,1,0,0,58.3952
